"","x"
"1",0.102164502164502
"2",0.112264842413877
"3",0.120938187148791
"4",0.135504964882538
"5",0.149790293588975
"6",0.161544900155447
"7",0.185127900059488
"8",0.208108108108108
"9",0.232223639948962
"10",0.251837390904915
"11",0.27452098540146
"12",0.308019713261649
"13",0.334853202846975
"14",0.359264184397163
"15",0.382840106007067
"16",0.412191901408451
"17",0.438374125874126
"18",0.478700516351119
"19",0.476549053356282
"20",0.477947504302926
"21",0.527611301369863
"22",0.566857993197279
"23",0.607944915254237
"24",0.654661016949153
"25",0.692752100840336
"26",0.72319932998325
"27",0.761829983249581
"28",1.00605175292154
"29",0.958648194794291
"30",1.11887458471761
"31",1.18724109362055
"32",1.27362773421378
"33",1.49511002444988
"34",1.68289473684211
"35",1.92162379421222
"36",2.24880478087649
"37",2.52622274602239
"38",2.78312781366216
"39",3.04390054390054
"40",3.34064129804906
"41",3.79549790156429
"42",3.91519969714178
"43",4.26476674191121
"44",4.36214997180981
"45",4.5061844077961
"46",4.39243916031952
"47",4.50287783141478
"48",4.77031278919119
"49",5.01385041551247
"50",4.86844560552342
"51",5.00476947535771
"52",5.21558732828708
"53",5.43573960082074
"54",6.02655278061461
"55",6.17121702915317
"56",6.42719436463064
"57",6.54913241161733
"58",6.88869453139385
"59",6.98996778647032
"60",4.34117647058823
"61",4.38476490188819
"62",4.49253034547152
"63",4.53987787693753
"64",4.25731895223421
"65",4.11129584352078
"66",3.98568872987478
"67",3.67627291242363
"68",3.7469571443183
"69",3.65367739239448
"70",3.31524520255864
"71",3.43506146445751
"72",3.69074927644978
"73",4.03372717508056
"74",3.9652496994864
"75",3.74223014370057
"76",3.87872651591855
"77",4.15183187233086
"78",4.44072743601257
"79",4.63056179775281
"80",5.02587674497787
"81",5.21684546907099
"82",5.32706506691278
"83",5.482597523943
"84",5.76948708794478
"85",6.33993595065829
"86",6.81506685768863
"87",7.06195005945303
"88",7.64984490575042
"89",8.17369047619048
"90",7.91826750984369
"91",8.17335549750653
"92",8.66682588965847
"93",9.18529165169481
"94",9.47934678194044
"95",9.78205128205128
"96",10.2530120481928
"97",10.58401937046
"98",10.8974390095885
"99",10.9230769230769
"100",11.1802141640302
"101",11.1095772217429
"102",9.97670362526473
"103",9.69759579263711
"104",9.68832807570978
"105",9.50520965692503
"106",9.22092725409836
"107",9.04059609455293
"108",8.90155239327296
"109",9.02874530622815
"110",11.379216398547
"111",11.6123056994819
"112",10.170019467878
"113",10.3041612483745
"114",10.7747818158135
"115",11.1936197916667
"116",11.9911492906417
