"","x"
"1",76.7610645933014
"2",85.4131628787879
"3",81.5558938106135
"4",82.5644474637681
"5",92.7500747607656
"6",78.7022727272727
"7",74.9046875
"8",71.2248317805383
"9",67.2982206937799
"10",68.0982413419913
"11",67.2161796536797
"12",49.0759943181818
"13",38.5534253432494
"14",37.586911525974
"15",33.072849025974
"16",38.1402867965368
"17",41.7216955432058
"18",44.1214577637275
"19",48.2896900879917
"20",54.15625
"21",57.7758662961752
"22",69.1765849282297
"23",76.973097826087
"24",71.2864177489178
"25",82.1734577922078
"26",80.4235051406926
"27",82.5994318181818
"28",106.790045936853
"29",111.60739195933
"30",121.839556277056
"31",152.967194264069
"32",154.453300525276
"33",152.400224282297
"34",172.351231060606
"35",187.88933982684
"36",232.624715909091
"37",266.753003432494
"38",326.403727002164
"39",381.848687770563
"40",314.421629848485
"41",341.583423913043
"42",336.436920626794
"43",354.665327786956
"44",294.415868506493
"45",310.150141831852
"46",334.467173160173
"47",306.574
"48",337.198931677019
"49",324.342209273183
"50",246.704772727273
"51",213.335409090909
"52",229.819736024845
"53",240.282155388471
"54",253.257619047619
"55",254.701948051948
"56",272.078420012482
"57",286.806818077803
"58",268.962547619048
"59",255.40854978355
"60",278.646017316017
"61",278.974385167464
"62",232.152294372294
"63",243.150310559006
"64",252.646666666667
"65",245.309819221968
"66",242.005789473684
"67",235.696717391304
"68",274.799896103896
"69",290.572244019139
"70",306.704283549784
"71",340.532283970797
"72",330.525474327122
"73",326.768528809524
"74",370.035454545455
"75",367.252337662338
"76",255.923852714791
"77",271.359648325359
"78",311.351935064935
"79",348.16974025974
"80",377.579272727273
"81",382.099130434783
"82",384.183145021645
"83",385.783403679654
"84",429.333246753247
"85",476.946625858124
"86",501.204993506494
"87",518.587649068323
"88",554.335714285714
"89",583.336
"90",597.614898268398
"91",592.163894518906
"92",585.575428571429
"93",608.985694235589
"94",610.847272727273
"95",570.246545454545
"96",541.158261904762
"97",552.115939849624
"98",564.776666666667
"99",571.675887445887
"100",498.263928645725
"101",475.901208133971
"102",504.615963203463
"103",462.889826839827
"104",421.282
"105",399.565133971292
"106",449.109523809524
"107",475.986817805383
"108",477.988095238095
"109",526.16904805492
"110",474.376842105263
"111",437.634
"112",456.428861471861
"113",474.434611528822
"114",437.751298701299
"115",438.775643456467
"116",374.749160945843
