"","x"
"1",20.0499210113738
"2",24.8671186246155
"3",22.23936666143
"4",20.9692752733223
"5",26.6861738661818
"6",27.4111700963798
"7",26.2560341122488
"8",29.0582095586163
"9",33.0169433741546
"10",28.5178875409167
"11",25.1625408632614
"12",27.0190762026843
"13",24.0750817320315
"14",23.2788054251456
"15",19.0422716259101
"16",18.4507490395065
"17",17.7310503458612
"18",18.9914305416125
"19",21.1393725425668
"20",23.9366807160327
"21",22.7494774243449
"22",26.9851115162162
"23",29.1873142085956
"24",26.1525610727413
"25",25.861631168222
"26",29.7946559413321
"27",30.5394457397479
"28",27.704120683012
"29",37.2136069247952
"30",39.1172825422491
"31",43.109828314824
"32",39.6602049136393
"33",38.6928735029577
"34",40.1152583652339
"35",42.4611689635326
"36",38.8805653029095
"37",47.4049529980346
"38",44.7113828639405
"39",44.738469208679
"40",42.9947809195018
"41",40.3413267947129
"42",27.9840573462638
"43",24.8784408863263
"44",20.3860720516783
"45",18.9527590988854
"46",23.0799559978232
"47",20.5136568526905
"48",19.9008792362976
"49",18.7941531702184
"50",16.59887181522
"51",14.6011992607139
"52",15.3260601823257
"53",13.7730921371924
"54",12.5582177174666
"55",13.1819294694633
"56",12.5702789071871
"57",12.2423929754963
"58",11.5103984777178
"59",11.8711073560697
"60",19.1576272598224
"61",17.5383061584855
"62",16.8122071174176
"63",17.3346191160795
"64",18.6276377522706
"65",19.7232538511522
"66",18.2849199876732
"67",20.3714414149674
"68",23.2453964575169
"69",23.9254703171018
"70",27.0182884249772
"71",25.5502659164909
"72",27.2814014411335
"73",22.3949333972413
"74",21.8143242408912
"75",21.2425187353081
"76",16.3900486052357
"77",13.0079388521331
"78",14.0429519659773
"79",15.7005361780476
"80",17.0923502134002
"81",16.8226998766975
"82",15.7797603387733
"83",13.5656754309131
"84",13.6810902205764
"85",12.8077534607966
"86",11.0481312684128
"87",11.0921380187823
"88",10.2282496931025
"89",11.1986551455215
"90",11.5442408749451
"91",11.1208008942968
"92",9.67392559594015
"93",9.04490129887689
"94",10.3860148413605
"95",10.0856885618968
"96",10.6504599920201
"97",10.6365149439072
"98",11.1417134567406
"99",12.2571415691116
"100",12.6200001708205
"101",11.7665887680392
"102",13.727769362298
"103",13.8879459432039
"104",16.3063809304625
"105",16.5349337504847
"106",16.911944452712
"107",18.7055049628599
"108",20.2707285660998
"109",21.281693307464
"110",18.0686460553714
"111",18.874111842536
"112",24.2296158115005
"113",26.6244067652188
"114",26.9850503957586
"115",29.084498138294
"116",26.7613356297224
