"","x"
"1",1.40222952229437
"2",1.02203548425411
"3",0.49642180942029
"4",0.624849726794258
"5",0.687289704545455
"6",0.745104254545455
"7",1.05323854813665
"8",1.35556655980861
"9",1.09216301277056
"10",1.36298231168831
"11",1.64958005
"12",2.39061162002288
"13",2.94121657489177
"14",3.87110728571429
"15",4.67925515367965
"16",4.91279452762341
"17",4.88394488129414
"18",5.96114458654244
"19",6.32951519047619
"20",6.75996311452544
"21",7.50163185885167
"22",9.10574145217391
"23",9.66807208181818
"24",10.6913303619048
"25",11.1712688095238
"26",13.0454927181818
"27",15.046559365735
"28",13.3564877064593
"29",14.7071232316017
"30",18.7291009848485
"31",15.7598188771583
"32",12.4728668744019
"33",12.9336871341991
"34",12.5502011731602
"35",16.3794115954545
"36",25.2977656796339
"37",20.2251353051948
"38",29.5953057359307
"39",50.3604234545455
"40",97.7781420086957
"41",115.131672421053
"42",120.135054397826
"43",90.1902326839827
"44",72.0374263784461
"45",49.5127770562771
"46",45.8438923395445
"47",43.4256446169772
"48",45.8018408521303
"49",28.8199727272727
"50",28.4351545454545
"51",30.8246570393375
"52",35.3698671679198
"53",37.0821857142857
"54",36.8002748917749
"55",37.1651393800707
"56",39.9031037757437
"57",35.0432857142857
"58",31.8749567099567
"59",38.8458658008658
"60",39.5926770334928
"61",36.9934199134199
"62",40.036
"63",37.4290428571429
"64",38.3105311899314
"65",42.2260526315789
"66",46.8245652173913
"67",55.2151731601732
"68",51.575009569378
"69",57.2545632034632
"70",60.808189092296
"71",64.1398530020704
"72",60.2181940476191
"73",65.1266883116883
"74",63.3056277056277
"75",51.3319138755981
"76",50.4394186602871
"77",58.5929047619048
"78",65.029025974026
"79",66.8000909090909
"80",73.6517391304348
"81",72.0711443722944
"82",72.3939090909091
"83",87.0767532467532
"84",96.6617602974828
"85",100.683319264069
"86",88.0313607660456
"87",91.6971428571429
"88",86.1413863636364
"89",83.6110757575757
"90",93.4004776070611
"91",94.6283471428571
"92",104.350273809524
"93",99.5057727272727
"94",97.3919545454546
"95",103.258539337474
"96",114.156365914787
"97",123.435238095238
"98",121.465367965368
"99",122.186173288954
"100",130.0544784689
"101",130.175203463203
"102",115.260173160173
"103",114.665045454545
"104",110.674248803828
"105",119.820108225108
"106",122.209172877847
"107",117.34
"108",124.563052631579
"109",136.569736842105
"110",149.348413043478
"111",147.116367965368
"112",149.129974937343
"113",138.201731601732
"114",145.843366023755
"115",143.557980821619
